,Game,Trial,Datetime,Tweet Id,Text,Username,URL
0,198,1,2022-01-03 23:29:01+00:00,1478146411875155971,"Wordle 198 1/6

🟩🟩🟩🟩🟩",amateuradam,https://twitter.com/amateuradam/status/1478146411875155971
1,198,1,2022-01-03 23:09:50+00:00,1478141581127389184,"Wordle 198 1/6

🟩🟩🟩🟩🟩",aminusfu,https://twitter.com/aminusfu/status/1478141581127389184
2,198,1,2022-01-03 22:51:20+00:00,1478136925403897857,"@shreyabasu003 @theantipopes Wordle 198 1/6

🟩🟩🟩🟩🟩 (I had played it on my phone already)",aromatasemebro,https://twitter.com/aromatasemebro/status/1478136925403897857
3,198,1,2022-01-03 22:48:08+00:00,1478136123096326146,"Wordle 198 1/6

🟩🟩🟩🟩🟩",ruthie_really,https://twitter.com/ruthie_really/status/1478136123096326146
4,198,1,2022-01-03 22:26:45+00:00,1478130739065597956,"Wordle 198 1/6

🟩🟩🟩🟩🟩",zippygwr,https://twitter.com/zippygwr/status/1478130739065597956
5,198,1,2022-01-03 22:18:52+00:00,1478128755788988426,"🟩🟩🟩⬛🟩🟩⬛⬛🟩🟩🟩
🟩⬛⬛⬛🟩⬛🟩⬛🟩⬛⬛
🟩🟩🟩⬛🟩⬛🟩⬛🟩🟩🟩
🟩⬛⬛⬛🟩⬛🟩⬛🟩⬛⬛
🟩🟩🟩⬛🟩🟩⬛⬛🟩⬛⬛

Wordle 198 1/6",EDF_OFFICIAL_EN,https://twitter.com/EDF_OFFICIAL_EN/status/1478128755788988426
6,198,1,2022-01-03 21:58:34+00:00,1478123648539975683,Wordle 198 1/6 https://t.co/EuRn475wDf,ChrisKeall,https://twitter.com/ChrisKeall/status/1478123648539975683
7,198,1,2022-01-03 21:51:39+00:00,1478121905299226625,"Wordle 198 1/6

🟩🟩🟩🟩🟩",Sir5000,https://twitter.com/Sir5000/status/1478121905299226625
8,198,1,2022-01-03 20:40:52+00:00,1478104094669688841,"Wordle 198 1/6

🟩🟩🟩🟩🟩
Yes!",rmj_equals_hero,https://twitter.com/rmj_equals_hero/status/1478104094669688841
9,198,1,2022-01-03 20:30:13+00:00,1478101414211514368,"Wordle 198 1/6

🟩🟩🟩🟩🟩

WORDLE GOD! The secret is a good diet, exercise, and playing the game on your phone just before you go to sleep, forgetting, then logging in on your computer and remembering you already did the puzzle.",TheeBrianJ,https://twitter.com/TheeBrianJ/status/1478101414211514368
10,198,1,2022-01-03 20:27:09+00:00,1478100643696898049,"Oh ok i get it
Wordle 198 1/6

🟩🟩🟩🟩🟩",valhallabckgirl,https://twitter.com/valhallabckgirl/status/1478100643696898049
11,198,1,2022-01-03 19:55:57+00:00,1478092791679012865,"Thought I would give this a try and it's rather simple isn't it?

Wordle 198 1/6

🟩🟩🟩🟩🟩",sarah_ox_laugh,https://twitter.com/sarah_ox_laugh/status/1478092791679012865
12,198,1,2022-01-03 19:54:31+00:00,1478092431119708160,"Wordle 198 1/6

🟩🟩🟩🟩🟩
???????????????????????",secily_iopara,https://twitter.com/secily_iopara/status/1478092431119708160
13,198,1,2022-01-03 19:38:04+00:00,1478088288456093702,"Wordle 198 1/6

🟩🟩🟩🟩🟩",gruber,https://twitter.com/gruber/status/1478088288456093702
14,198,1,2022-01-03 19:29:02+00:00,1478086017580253188,"Wordle 198 1/6

🟩🟩🟩🟩🟩",DerStahlBesen,https://twitter.com/DerStahlBesen/status/1478086017580253188
15,198,1,2022-01-03 19:27:16+00:00,1478085570765197319,"Wordle 198 1/6

🟩🟩🟩🟩🟩",drsarahedwards,https://twitter.com/drsarahedwards/status/1478085570765197319
16,198,1,2022-01-03 18:46:42+00:00,1478075361283956741,"Wordle 198 1/6

🟩🟩🟩🟩🟩

Since it's cookie based I can be a genius on my desktop after being normal on my mobile.

I am enjoying the specifics of this game format but I do wonder what the next steps are (monetization, etc)",aCuriousMaker,https://twitter.com/aCuriousMaker/status/1478075361283956741
17,198,1,2022-01-03 18:41:45+00:00,1478074117697855492,"I cheated at Wordle!

Wordle 198 1/6

🟩🟩🟩🟩🟩",plainsimplejake,https://twitter.com/plainsimplejake/status/1478074117697855492
18,198,1,2022-01-03 18:39:54+00:00,1478073650968514563,"Wordle 198 1/6

🟩🟩🟩🟩🟩

Easy.",ABWGraham,https://twitter.com/ABWGraham/status/1478073650968514563
19,198,1,2022-01-03 18:35:12+00:00,1478072467704872962,"Open up Firefox, solve todays Wordle as the Wordle gods intended, close Firefox. Open up Safari, insert answer, appear to be a genius. 

Wordle 198 1/6
🟩🟩🟩🟩🟩",James_LRR,https://twitter.com/James_LRR/status/1478072467704872962
20,198,1,2022-01-03 17:38:22+00:00,1478058167519129603,"I just keep getting better at Wordle 198 1/6

🟩🟩🟩🟩🟩",dizwire,https://twitter.com/dizwire/status/1478058167519129603
21,198,1,2022-01-03 17:33:35+00:00,1478056960981303296,"Wordle 198 1/6

🟩🟩🟩🟩🟩",MrTallFlower,https://twitter.com/MrTallFlower/status/1478056960981303296
22,198,1,2022-01-03 17:05:53+00:00,1478049991176425477,"Wordle 198 1/6

🟩🟩🟩🟩🟩

I actually got it in 4 from Brian’s link, but when I went back in I couldn’t be arsed typing out my working! 😂😂😂🏆🏆🏆",davidjbrodie,https://twitter.com/davidjbrodie/status/1478049991176425477
23,198,1,2022-01-03 16:59:27+00:00,1478048373970198529,"Wordle 198 1/6

🟩🟩🟩🟩🟩

Okay I'll admit I'm using a different computer for this (I got 4/6)",AchillesF6,https://twitter.com/AchillesF6/status/1478048373970198529
24,198,1,2022-01-03 16:55:37+00:00,1478047409095729152,"Wordle 198 1/6.   👍👍👍👍👍

🟩🟩🟩🟩🟩",MikeJ_A,https://twitter.com/MikeJ_A/status/1478047409095729152
